global_task_id,suite,task_id,init_state_id,correct_teacher_demo,other_teacher_demo,video_ordinal,env_seed,policy_seed_root,correct_success,same_task_other_success,cross_suite_wrong_success,shuffled_success,reversed_success,no_video_success
31,libero_10,1,0,47,14,0,7,7,0,1,1,1,0,0
31,libero_10,1,1,9,26,1,7,7,1,0,1,0,0,0
31,libero_10,1,2,3,20,2,7,7,0,1,1,0,0,0
31,libero_10,1,3,32,49,3,7,7,1,1,1,0,1,0
31,libero_10,1,4,15,32,4,7,7,1,0,1,1,1,0
31,libero_10,1,5,18,35,5,7,7,0,0,1,0,0,0
31,libero_10,1,6,34,1,6,7,7,1,0,0,1,1,0
31,libero_10,1,7,11,28,7,7,7,0,0,1,0,0,0
31,libero_10,1,8,31,48,8,7,7,1,1,1,1,0,0
31,libero_10,1,9,45,12,9,7,7,1,0,1,0,0,0
31,libero_10,1,10,49,16,10,7,7,1,1,1,1,0,0
31,libero_10,1,11,28,45,11,7,7,0,0,1,1,1,0
31,libero_10,1,12,39,6,12,7,7,0,1,1,1,0,0
31,libero_10,1,13,43,10,13,7,7,1,1,0,0,1,1
31,libero_10,1,14,12,29,14,7,7,0,1,1,1,0,0
31,libero_10,1,15,38,5,15,7,7,0,0,0,0,0,0
31,libero_10,1,16,35,2,16,7,7,1,1,1,1,1,1
31,libero_10,1,17,33,0,17,7,7,0,0,0,1,0,0
31,libero_10,1,18,42,9,18,7,7,0,0,0,0,0,0
31,libero_10,1,19,24,41,19,7,7,1,0,1,0,0,0
31,libero_10,1,20,21,38,20,7,7,1,1,1,0,1,0
31,libero_10,1,21,23,40,21,7,7,0,0,1,0,0,0
31,libero_10,1,22,2,19,22,7,7,0,1,0,0,0,0
31,libero_10,1,23,48,15,23,7,7,1,0,1,0,1,0
31,libero_10,1,24,0,17,24,7,7,0,1,1,0,0,0
31,libero_10,1,25,7,24,25,7,7,1,0,1,1,0,0
31,libero_10,1,26,37,4,26,7,7,1,0,1,1,0,0
31,libero_10,1,27,4,21,27,7,7,0,1,1,0,1,0
31,libero_10,1,28,20,37,28,7,7,0,0,0,0,0,0
31,libero_10,1,29,25,42,29,7,7,1,1,1,0,0,0
31,libero_10,1,30,46,13,30,7,7,0,0,1,0,1,1
31,libero_10,1,31,22,39,31,7,7,0,1,1,1,1,0
31,libero_10,1,32,41,8,32,7,7,0,1,1,1,1,0
31,libero_10,1,33,40,7,33,7,7,0,0,0,0,0,1
31,libero_10,1,34,13,30,34,7,7,0,0,0,1,0,0
31,libero_10,1,35,16,33,35,7,7,1,0,0,0,0,0
31,libero_10,1,36,10,27,36,7,7,0,0,0,0,1,0
31,libero_10,1,37,17,34,37,7,7,1,1,1,1,1,1
31,libero_10,1,38,6,23,38,7,7,0,1,0,1,0,0
31,libero_10,1,39,27,44,39,7,7,0,0,0,1,0,0
31,libero_10,1,40,36,3,40,7,7,0,0,0,0,0,0
31,libero_10,1,41,26,43,41,7,7,1,1,1,0,1,0
31,libero_10,1,42,44,11,42,7,7,0,0,0,0,0,0
31,libero_10,1,43,19,36,43,7,7,1,1,1,1,1,0
31,libero_10,1,44,14,31,44,7,7,1,0,1,0,0,0
31,libero_10,1,45,8,25,45,7,7,1,0,1,0,0,0
31,libero_10,1,46,5,22,46,7,7,0,0,0,1,1,1
31,libero_10,1,47,30,47,47,7,7,1,0,1,1,0,0
31,libero_10,1,48,29,46,48,7,7,1,1,1,1,0,0
31,libero_10,1,49,1,18,49,7,7,0,0,0,1,0,0
32,libero_10,2,0,16,33,0,7,7,0,0,0,0,0,0
32,libero_10,2,1,35,2,1,7,7,0,0,0,0,0,0
32,libero_10,2,2,12,29,2,7,7,0,0,0,0,0,0
32,libero_10,2,3,8,25,3,7,7,0,0,0,0,0,0
32,libero_10,2,4,37,4,4,7,7,0,0,0,0,0,1
32,libero_10,2,5,42,9,5,7,7,0,0,0,0,0,0
32,libero_10,2,6,15,32,6,7,7,0,0,0,0,0,0
32,libero_10,2,7,43,10,7,7,7,0,0,0,0,0,0
32,libero_10,2,8,33,0,8,7,7,0,0,0,0,0,0
32,libero_10,2,9,25,42,9,7,7,0,0,0,0,0,0
32,libero_10,2,10,3,20,10,7,7,0,0,0,0,0,0
32,libero_10,2,11,29,46,11,7,7,0,0,0,0,0,0
32,libero_10,2,12,24,41,12,7,7,0,0,0,0,0,0
32,libero_10,2,13,28,45,13,7,7,0,0,0,0,0,0
32,libero_10,2,14,47,14,14,7,7,0,0,0,0,0,0
