branch,d1_asset,global_task_id,init_state_id,path_arm,steps,success,suite,task_id
,C600,5,0,CC,220,False,libero_spatial,5
,C600,5,1,CC,220,False,libero_spatial,5
,C600,7,0,CC,220,False,libero_spatial,7
,C600,7,1,CC,155,True,libero_spatial,7
,C600,12,0,CC,280,False,libero_object,2
,C600,12,1,CC,280,False,libero_object,2
,C600,14,0,CC,280,False,libero_object,4
,C600,14,1,CC,280,False,libero_object,4
,C600,20,0,CC,105,True,libero_goal,0
,C600,20,1,CC,300,False,libero_goal,0
,C600,25,0,CC,300,False,libero_goal,5
,C600,25,1,CC,300,False,libero_goal,5
,C600,34,0,CC,520,False,libero_10,4
,C600,34,1,CC,520,False,libero_10,4
,C600,37,0,CC,520,False,libero_10,7
,C600,37,1,CC,520,False,libero_10,7
,C600,5,0,CO,220,False,libero_spatial,5
,C600,5,1,CO,220,False,libero_spatial,5
,C600,7,0,CO,220,False,libero_spatial,7
,C600,7,1,CO,155,True,libero_spatial,7
,C600,12,0,CO,207,True,libero_object,2
,C600,12,1,CO,280,False,libero_object,2
,C600,14,0,CO,280,False,libero_object,4
,C600,14,1,CO,158,True,libero_object,4
,C600,20,0,CO,105,True,libero_goal,0
,C600,20,1,CO,300,False,libero_goal,0
,C600,25,0,CO,300,False,libero_goal,5
,C600,25,1,CO,300,False,libero_goal,5
,C600,34,0,CO,520,False,libero_10,4
,C600,34,1,CO,265,True,libero_10,4
,C600,37,0,CO,520,False,libero_10,7
,C600,37,1,CO,520,False,libero_10,7
,C600,5,0,CW,220,False,libero_spatial,5
,C600,5,1,CW,187,True,libero_spatial,5
,C600,7,0,CW,220,False,libero_spatial,7
,C600,7,1,CW,153,True,libero_spatial,7
,C600,12,0,CW,280,False,libero_object,2
,C600,12,1,CW,280,False,libero_object,2
,C600,14,0,CW,280,False,libero_object,4
,C600,14,1,CW,280,False,libero_object,4
,C600,20,0,CW,300,False,libero_goal,0
,C600,20,1,CW,300,False,libero_goal,0
,C600,25,0,CW,300,False,libero_goal,5
,C600,25,1,CW,300,False,libero_goal,5
,C600,34,0,CW,520,False,libero_10,4
,C600,34,1,CW,512,True,libero_10,4
,C600,37,0,CW,520,False,libero_10,7
,C600,37,1,CW,520,False,libero_10,7
,C600,5,0,WC,220,False,libero_spatial,5
,C600,5,1,WC,220,False,libero_spatial,5
,C600,7,0,WC,220,False,libero_spatial,7
,C600,7,1,WC,157,True,libero_spatial,7
,C600,12,0,WC,147,True,libero_object,2
,C600,12,1,WC,280,False,libero_object,2
,C600,14,0,WC,280,False,libero_object,4
,C600,14,1,WC,212,True,libero_object,4
,C600,20,0,WC,116,True,libero_goal,0
,C600,20,1,WC,300,False,libero_goal,0
,C600,25,0,WC,300,False,libero_goal,5
,C600,25,1,WC,300,False,libero_goal,5
,C600,34,0,WC,520,False,libero_10,4
,C600,34,1,WC,264,True,libero_10,4
,C600,37,0,WC,520,False,libero_10,7
,C600,37,1,WC,520,False,libero_10,7
,C600,5,0,WW,220,False,libero_spatial,5
,C600,5,1,WW,193,True,libero_spatial,5
,C600,7,0,WW,220,False,libero_spatial,7
,C600,7,1,WW,153,True,libero_spatial,7
,C600,12,0,WW,280,False,libero_object,2
,C600,12,1,WW,280,False,libero_object,2
,C600,14,0,WW,280,False,libero_object,4
,C600,14,1,WW,280,False,libero_object,4
,C600,20,0,WW,300,False,libero_goal,0
,C600,20,1,WW,144,True,libero_goal,0
,C600,25,0,WW,300,False,libero_goal,5
